date,year,quarter,month,day,y_d_1,y_d_2,y_d_3,y_d_4,y_d_5,y_d_6,y_d_7,y_d_8,y_d_9,y_d_10,y_d_11,y_d_12,y_d_13,y_d_14,y_d_15,y_m_1,y_m_2,y_m_3,y_m_4,y_m_5,y_m_6,y_m_7,y_m_8,y_m_9,y_m_10,y_m_11,y_m_12,y_q_1,Xi_qd,Xi_md,W_md_c,W_md_p,W_qd_c,W_qd_p,ind_backcast,ind_nowcast,ind_forecast1Q,ind_forecast2Q,ind_sample
1992-01-01,1992,1,1,1,-0.000320502447763103,-0.000673231515325251,0.000719080557279717,4.36073038683663e-05,-0.000312891315042664,-0.000556257366327317,-0.000221508100395489,0.000305413720104975,-0.000474090169834909,-0.000375404578300985,NaN,0,-0.0209999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,0,1,0,0,0,0,0,1
1992-01-02,1992,1,1,2,-0.000332949795374388,-0.000689394419158163,0.00070604471262219,-6.30105784812916e-05,-0.000315420474431304,-0.000599136854192343,-0.000278678881763753,0.00030340244659185,-0.000476090078474741,-0.000374030925482368,1.3182531244933,-0.0310000000000006,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.967741935483871,0.032258064516129,0.989010989010989,0.010989010989011,0,0,0,0,1
1992-01-03,1992,1,1,3,-0.00034049633580339,-0.00074212984994176,0.000671082211749904,-0.000224996790983407,-0.000305456535267999,-0.000456531300619236,-0.000400979955338477,0.000133935979455079,-0.000513814574495845,-0.000382509049778187,0.366000959326662,0.00399999999999956,0.012999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.935483870967742,0.0645161290322581,0.978021978021978,0.021978021978022,0,0,0,0,1
1992-01-04,1992,1,1,4,-0.000381553136362876,-0.00104382731087787,0.000689627174173148,-4.29214022315901e-05,-0.000441294503520063,-0.000498823055658546,-0.000612232113462852,0.000118442875340067,-0.000549911065745719,-0.000398647155468788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.903225806451613,0.0967741935483871,0.967032967032967,0.032967032967033,0,0,0,0,1
1992-01-05,1992,1,1,5,-0.000409780624845532,-0.00117753479388815,0.000542632739552573,-8.41101117461058e-05,-0.000506616193840277,-0.000900458176502837,-0.000783857119664459,7.84172923856518e-05,-0.000643767171713767,-0.000452373785180802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.870967741935484,0.129032258064516,0.956043956043956,0.043956043956044,0,0,0,0,1
1992-01-06,1992,1,1,6,-0.000430231448600477,-0.00122428603273902,0.000462125218694437,-0.00023536732640998,-0.000512397046816001,-0.000950014461510293,-0.000740383808777477,6.8636882225465e-05,-0.000664976833717901,-0.000463532407135124,0.0398843166150797,-0.0429999999999993,-0.0359999999999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.838709677419355,0.161290322580645,0.945054945054945,0.0549450549450549,0,0,0,0,1
1992-01-07,1992,1,1,7,-0.000427988895528787,-0.00143548163636823,-8.07591934808129e-05,-0.000294334810300873,-0.00079470909511557,-0.00126187251299941,-0.00081338483647426,6.22390446946639e-05,-0.000522138226981568,-0.000540552385117654,-0.690355682436294,-0.0229999999999997,-0.00999999999999979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.806451612903226,0.193548387096774,0.934065934065934,0.0659340659340659,0,0,0,0,1
1992-01-08,1992,1,1,8,-0.000480846300153525,-0.00152927120250822,-0.000130103444754183,-0.000449952721771518,-0.000570088801077345,-0.00152392469911861,-0.00099593336661013,-0.000120312355474253,-0.000563805649412943,-0.000543685060128886,-0.753939049237129,-0.0169999999999995,0.00699999999999967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.774193548387097,0.225806451612903,0.923076923076923,0.0769230769230769,0,0,0,0,1
1992-01-09,1992,1,1,9,-0.000511463498463584,-0.00129068016227731,5.8317378425305e-05,-0.000361947212787191,-0.000573631222206332,-0.00117687685422815,-0.000871610336214205,-0.000115779449296583,-0.000561010115939178,-0.000548259854331687,1.09783866954682,-0.0410000000000004,-0.0640000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.741935483870968,0.258064516129032,0.912087912087912,0.0879120879120879,0,0,0,0,1
1992-01-10,1992,1,1,10,-0.000492262792833657,-0.00121674596185863,-0.000165581129855816,-0.000119316012762364,-0.000566053976529474,-0.001154399525685,-0.000892513423238731,-0.000109532297590295,-0.000889635700182078,-0.000553911559548843,0.913801188305552,-0.0280000000000005,0.0140000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.709677419354839,0.290322580645161,0.901098901098901,0.0989010989010989,0,0,0,0,1
1992-01-11,1992,1,1,11,-0.00054155573145645,-0.000949181409865123,-0.000164118937394547,-0.00011459360073797,-0.000583495342064542,-0.00116723895408848,-0.000430083989099551,-0.000133478956952262,-0.000927641994222548,-0.000544720383666117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.67741935483871,0.32258064516129,0.89010989010989,0.10989010989011,0,0,0,0,1
1992-01-12,1992,1,1,12,-0.000386122598628208,-0.000950226327098329,-0.000162863892096567,-0.000101538920452029,-0.000585951814686122,-0.00115931630310162,-0.000411629744495072,-8.91701912775063e-05,-0.000887236645442136,-0.000547274781301115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.645161290322581,0.354838709677419,0.879120879120879,0.120879120879121,0,0,0,0,1
1992-01-13,1992,1,1,13,-0.00044020452008424,-0.00108631836873867,-0.000166728362734399,-0.000223221789503577,-0.000571792354118362,-0.00117146384256226,-0.000437650654247345,-9.45975483469917e-05,-0.000989295853475277,-0.000548307888004024,0.409985220652764,0.0190000000000001,0.0149999999999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.612903225806452,0.387096774193548,0.868131868131868,0.131868131868132,0,0,0,0,1
1992-01-14,1992,1,1,14,-0.000390020274078837,-0.00109192948377747,-0.000284824571246547,-0.000320838998396269,-0.000606389300468838,-0.00125321846897365,-0.00044245208401173,-0.00014103783628193,-0.0010226602531177,-0.000602396757660025,0.557550405480534,-0.0310000000000006,-0.0489999999999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.580645161290323,0.419354838709677,0.857142857142857,0.142857142857143,0,0,0,0,1
1992-01-15,1992,1,1,15,-0.000398248170163158,-0.00110274710294613,0.000223560144059355,-0.000420969302633715,-0.000539294294427511,-0.00100361172062364,-0.000474212627642268,-0.000168511953810889,-0.000980625248227517,-0.000585700610137285,2.07646459658761,-0.048,-0.0410000000000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.548387096774194,0.451612903225806,0.846153846153846,0.153846153846154,0,0,0,0,1
1992-01-16,1992,1,1,16,-0.000415773514758998,-0.00110259586084502,0.000404181175881001,-0.000445332865799442,-0.000473729985767397,-0.00103485499935946,-0.000477840233434115,-0.000224331979486021,-0.0010422859782712,-0.000557904990826552,0.0234398812132497,-0.00199999999999889,0.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.516129032258065,0.483870967741935,0.835164835164835,0.164835164835165,0,0,0,0,1
1992-01-17,1992,1,1,17,-0.000460825008415727,-0.00115450140810217,-0.000200843966729741,-0.000602025437725393,-0.000474923025311413,-0.0012565808750088,-0.000547430556345804,-0.000233043770649484,-0.00116100021714161,-0.000566842985720825,0.312000264626633,-0.0520000000000014,-0.016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.483870967741935,0.516129032258065,0.824175824175824,0.175824175824176,0,0,0,0,1
1992-01-18,1992,1,1,18,-0.000448340346297111,-0.00116396759608275,-0.000161888351614872,-0.000375176784158311,-0.000351581351379902,-0.00122745978070922,-0.000774454416823663,-0.000225314728558071,-0.00104495614308885,-0.000559063359677757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.451612903225806,0.548387096774194,0.813186813186813,0.186813186813187,0,0,0,0,1
1992-01-19,1992,1,1,19,-0.000367840530555829,-0.00102792638579025,-0.000175806485733107,-0.000126696306578821,-0.000203774659095174,-0.000989917981482641,-0.000461337273429515,-0.000174478518607479,-0.00107790783103517,-0.00055984797907465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.419354838709677,0.580645161290323,0.802197802197802,0.197802197802198,0,0,0,0,1
1992-01-20,1992,1,1,20,-0.000365904064023786,-0.00107096609857976,-0.000110626627859662,-0.000463187497112487,-9.36983515201176e-05,-0.000754853347667345,-0.000551149685944086,-0.000229403428709401,-0.000999787984359127,-0.000556698721628725,0.945024561808694,-0.00399999999999956,-0.0219999999999994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.387096774193548,0.612903225806452,0.791208791208791,0.208791208791209,0,0,0,0,1
1992-01-21,1992,1,1,21,-0.000386215544953816,-0.00107216504835988,9.56692978464422e-05,-0.000569642851419133,-0.000129962476237897,-0.00101630364749412,-0.000539133602341169,-0.000219628795057373,-0.000867508949898338,-0.00053580011938659,0.114460916314574,-0.0849999999999991,-0.048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.354838709677419,0.645161290322581,0.78021978021978,0.21978021978022,0,0,0,0,1
