topic0,autos,auto,fahrzeug,herstell,pkw,autoindustri,kfz,vda,diesel,fahr,lit,pro,autofahr,verbrauch,automobilindustri,motor,wag,kilomet,benzin,gottschalk,branch,steu,neuwag,autoherstell,abwrackprami,iaa,modell,gramm,neuzulass,schwer,automobil,sparsam,fahrt,verband,kraftstoff,zugelass,adac,je,umweltfreund,handl,nutzfahrzeug,antrieb,hybrid,grenzwert,prami,sixt,kost,batteri,einheit,benzinpreis,verkauft,autokauf,einfuhr,absatz,strass,ps,entsprech,erreich,kauf,zulass,main,teur,acht,deutschen_hersteller,sprit,ausstoss,technisch,verkehr,alternativ,werkstatt,verband_der_automobilindustrie,automarkt,elektroautos,rad,fahrrad,kraftfahrzeug,durchschnitt,autobranch,bring,tankstell,brennstoffzell,treibstoff,cent,autobau,nachfrag,katalysator,senk,tempolimit,mobilitat,automobilherstell,flott,gesamt,bislang,motorrad,technik,belast,biodiesel,importeur,dieselmotor,autovermiet
 ,0.03,0.025,0.024,0.021,0.016,0.014,0.014,0.011,0.011,0.011,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic1,akti,analyst,anleg,bors,dax,aktienmarkt,kurs,kur,investor,titel,strateg,papi,bewert,rat,bewertet,profiti,aktienkurs,kauf,optimist,kursziel,borsian,empfehl,gunstig,verhaltnis,steig,rechn,aktuell,empfiehlt,meint,merrill_lynch,oben,meinung,research,prognos,dah,sektor,rally,steigend,kgv,ansicht,bankhaus,langfrist,kursgewinn,aussicht,kursentwickl,neutral,attraktiv,glaubt,einschatz,rechnet,erhol,westlb,branch,kurzfrist,vorsicht,unternehmensgewinn,commerzbank,fondsmanag,zyklisch,goldman_sachs,jahres,durchschnitt,index,investmentbank,morgan_stanley,negativ,stuft,notiert,vergleich,aktienkur,warburg,potenzial,konzern,oppenheim,hauss,fundamental,zwolf,setz,aktienstrateg,eher,skeptisch,zuletzt,zugelegt,punkt,unterbewertet,analystin,jahresbeginn,favorit,kursanstieg,aktionar,verkauf,interessant,unsich,kursverlust,defensiv,investmenthaus,niveau,dusseldorf,sal,vergang
 ,0.063,0.049,0.026,0.024,0.016,0.014,0.013,0.012,0.011,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic2,standard,transparenz,regeln,bilanz,information,kontroll,pruf,wirtschaftspruf,unabhang,gesellschaft,bewert,prufung,enron,sec,ad,streng,transparent,intern,empfehl,entsprech,off,grundsatz,uberpruf,aufsicht,corporat,einzeln,vorschrift,kpmg,kodex,risik,anforder,offenleg,beispiel,genau,rechnungsleg,genannt,veroffentlich,qualitat,freiwill,ias,extern,governanc,tatsach,amerikan,leg,kriteri,norm,jahresabschluss,bislang,vertrau,hoc,veroffent,borsenaufsicht,bilanzier,uberwach,kapitalmarkt,aufsichtsbehord,pflicht,abschluss,gepruft,beurteil,regel,dah,regelmass,nehm,method,tatig,nachhalt,and,kritisch,fair,vergleichbar,darub,verpflichtet,firm,praxis,borsennotiert,verpflicht,einhalt,pwc,veroffentlicht,verbind,detailliert,erfull,erheb,gaap,insbesond,skandal,ifr,ausreich,coop,uberpruft,wirtschaftsprufungsgesellschaft,ausserd,gelt,beispielsweis,verbess,einheit,hgb,geschaftsbericht
 ,0.019,0.018,0.012,0.011,0.01,0.009,0.009,0.009,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic3,verhandl,kompromiss,vereinbar,seit,losung,vereinbart,streit,scheit,treff,geeinigt,zustimm,verhandeln,vertrag,zunach,erzielt,verhandelt,angebot,zugestandnis,durchbruch,gescheitert,punkt,beding,position,einigt,gefund,verstandigt,schwierig,abschluss,grundsatz,vertret,ausgehandelt,zusag,endgult,beteiligt,strittig,tisch,umstritt,berat,signalisiert,ursprung,verstand,wollt,detail,off,beweg,annaher,akzepti,verlangt,abgelehnt,hiess,zufried,ring,gegenzug,unterhandl,bereitschaft,einvernehm,optimist,akzeptiert,verhandlungsfuhr,chanc,gefordert,zuversicht,abend,abschliess,konkret,lehnt,verzicht,find,differenz,beendet,frist,angestrebt,arbeitsgrupp,fortschritt,montag,entgegenkomm,geklart,danach,vorschlag,abgeschloss,grundlag,gemacht,festgelegt,erfolg,verhandlungsrund,unterzeichnet,aufgenomm,aussert,vorgeseh,spitzengesprach,zeichnet,bisher,verbind,monatelang,abkomm,kons,konstruktiv,getroff,kompromissbereitschaft,voraussetz
 ,0.058,0.032,0.02,0.019,0.019,0.013,0.012,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic4,partei,wahl,parlament,opposition,demokrat,konservativ,premi,sozialist,regierungschef,parlamentswahl,mehrheit,liberal,abgeordnet,ministerprasident,verfass,kommunist,koalition,neuwahl,gewahlt,stimm,sitz,link,sieg,referendum,demokrati,oppositionell,sozialdemokrat,amt,ex,abstimm,kabinett,mandat,rucktritt,wahlsieg,regierungspartei,staatsprasident,unabhang,unterstutz,burg,oppositionspartei,nationalist,amtszeit,vorgezog,bevolker,gegn,neue_regierung,national,beobacht,kandidat,prasidentenwahl,christdemokrat,premierminist,anhang,korruption,radikal,aussenminist,bisher,koalitionspartn,innenpolit,niederlag,beweg,bundnis,regiert,oppositionsfuhr,ehemal,volksabstimm,wirtschaftspolit,kraft,regierungsbild,regierungskoalition,neuen_regierung,sturz,stimmt,bildung,staatschef,wahlkampf,jahrig,versprach,parlamentar,juni,regi,verfugt,amtier,versproch,prasidentschaftswahl,volkspartei,kundigt,vertret,fuhrung,bild,medi,prozent_der_stimmen,gemassigt,regierungskris,sozial,auflos,burgermeist,aussenpolit,gewonn,wiederwahl
 ,0.044,0.032,0.031,0.022,0.017,0.017,0.013,0.013,0.013,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic5,mitarbeit,berat,manag,management,partn,unternehmensberat,erfahr,geschaftsfuhr,firma,oft,firm,such,fuhrungskraft,projekt,person,team,kontakt,business,haufig,familienunternehm,erfolgreich,agentur,tatig,leit,best,erfolg,wiss,thema,consulting,beispiel,abteil,mckinsey,top,kolleg,kund,buro,personal,find,arbeitet,leut,gesellschaft,dusseldorf,roland_berger,gefragt,extern,angestellt,verantwort,kommunikation,netzwerk,pr,aufgab,spezialist,job,marketing,kanzlei,auftrag,ide,geschaft,mba,professionell,buros,spezialisiert,zusamm,sucht,organisation,helf,motivation,qualifiziert,engagement,selt,wer,lern,richtig,unternehmer,aktiv,kenn,vermittelt,bewerb,betreut,denk,bietet,seminar,senior,strategi,inzwisch,consultant,fest,eher,erlautert,genau,direkt,rat,corporat,gesucht,regelmass,gegrundet,gehor,haus,gehort,vermittl
